id	title	developer	genre	language	publisher	region	release_date	serial
ALCH-00001	Katakamuna: Ushinawareta Ingaritsu [Deluxe Pack]	Alchemist / NDCP	Adventure.	Japanese	Alchemist	NTSC-J	2004-11-25	ALCH-00001
ALCH-00002	Baldr Force EXE: Mega Box	N/A	N/A	N/A	Alchemist	NTSC-J	2005-04-07	ALCH-00002
ALCH-00003	Chocolat Maid Cafe Curio [Limited Edition]	Giga	Adventure.	Japanese	Alchemist	NTSC-J	2005-06-30	ALCH-00003
ALCH-00004	Duel Savior Destiny [Messiah Box]	Giga	Action / RPG.	Japanese	Alchemist	NTSC-J	2005-12-22	ALCH-00004
ALCH-00005	Haru no Ashioto: Step of Spring [Paku Paku Pack]	Alchemist	Adventure	Japanese	Alchemist	NTSC-J	2006-04-06	ALCH-00005
ALCH-00006	Baldr Force EXE (Simlacrum Pack Alchemist Best)	N/A	N/A	N/A	N/A	NTSC-J	N/A	ALCH-00006
ALCH-00007	Parfait: Chocolat Second Style [Limited Edition]	Alchemist	Adventure.	Japanese	Alchemist	NTSC-J	2006-06-29	ALCH-00007
ALCH-00008	Aria: The Natural ~Tooi Yume no Mirage~ [Limited Edition]	Regista	Adventure	Japanese	Alchemist	NTSC-J	2006-09-28	ALCH-00008
ALCH-00009	Higurashi no Naku Koro ni Matsuri [First Print Limited Edition]	07th Expansion	Adventure.	Japanese	Alchemist	NTSC-J	2007-02-22	ALCH-00009
ALCH-00010	Kono Aozora ni Yakusoku wo: Melody of the Sun and Sea [Limited Edition]	Alchemist	Adventure.	Japanese	Alchemist	NTSC-J	2007-05-31	ALCH-00010
ALCH-00011	Pure x Cure RE:Covery [Koi no Kyuukyuu Set]	Alchemist	Adventure.	Japanese	Alchemist	NTSC-J	2007-08-22	ALCH-00011
ALCH-00012	Baldr Bullet: Equilibrium: Genteiban	TGL	Action	N/A	Alchemist	NTSC-J	2007-10-25	ALCH-00012
ALCH-00014	Aria: The Origination ~Aoi Hoshi no El Cielo~ [Limited Edition]	Regista	Adventure	Japanese	Alchemist	NTSC-J	2008-06-26	ALCH-00014
